"","gender","SeniorCitizen","Partner","Dependents","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","Churn","tenure_category"
"1045","Female","No","No","No","Yes","No","DSL","Yes","No","No","Yes","No","No","One year","No","Bank transfer (automatic)",54.25,"No","Under 1 year"
"1046","Female","No","Yes","Yes","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",99.3,"No","2-4 years"
"1047","Female","No","No","No","Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","No","One year","No","Credit card (automatic)",74,"No","4-5 years"
"1048","Male","No","No","No","Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Mailed check",50.25,"No","Under 1 year"
"1049","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","One year","Yes","Mailed check",19.8,"No","2-4 years"
"1050","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.65,"Yes","Under 1 year"
"1051","Male","Yes","No","No","No","No phone service","DSL","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Electronic check",43.65,"Yes","Under 1 year"
"1052","Female","No","Yes","Yes","No","No phone service","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",35.5,"No","1-2 years"
"1053","Female","No","No","No","Yes","Yes","DSL","No","No","Yes","Yes","Yes","Yes","One year","Yes","Mailed check",80.75,"No","2-4 years"
"1054","Female","No","No","No","No","No phone service","DSL","No","No","Yes","No","No","Yes","Month-to-month","No","Electronic check",39.5,"Yes","Under 1 year"
"1055","Male","No","Yes","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",97.1,"Yes","2-4 years"
"1056","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.55,"No","2-4 years"
"1057","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",80,"Yes","Under 1 year"
"1058","Female","No","No","No","Yes","No","Fiber optic","Yes","No","No","No","Yes","No","Month-to-month","Yes","Mailed check",84.7,"Yes","Under 1 year"
"1059","Male","No","Yes","Yes","Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",89.55,"Yes","Under 1 year"
"1060","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",90.6,"Yes","1-2 years"
"1061","Male","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","One year","Yes","Bank transfer (automatic)",20.05,"No","2-4 years"
"1062","Female","Yes","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",112.4,"No","Over 5 years "
"1063","Female","No","Yes","No","Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",50.2,"No","2-4 years"
"1064","Male","No","No","No","Yes","No","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","No","Bank transfer (automatic)",62.25,"No","Under 1 year"
"1065","Female","No","No","No","Yes","No","DSL","Yes","No","No","Yes","No","No","One year","No","Mailed check",55.7,"No","1-2 years"
"1066","Female","No","No","No","Yes","Yes","Fiber optic","Yes","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",90.05,"Yes","1-2 years"
"1067","Male","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.65,"No","2-4 years"
"1068","Male","No","Yes","No","Yes","No","Fiber optic","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",89.25,"No","1-2 years"
"1069","Male","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",99.05,"Yes","4-5 years"
"1070","Male","Yes","No","No","Yes","No","DSL","Yes","No","No","Yes","No","No","One year","No","Mailed check",54,"No","1-2 years"
"1071","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",69.75,"Yes","Under 1 year"
"1072","Female","No","No","No","Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",49.05,"Yes","Under 1 year"
"1073","Male","No","No","No","No","No phone service","DSL","No","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",56.75,"No","1-2 years"
"1074","Male","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",98.05,"Yes","Under 1 year"
"1075","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",21.1,"No","Under 1 year"
"1076","Female","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",96.65,"No","4-5 years"
"1077","Female","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",24.5,"No","4-5 years"
"1078","Female","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",114.5,"Yes","2-4 years"
"1079","Female","Yes","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Two year","Yes","Credit card (automatic)",79.2,"No","4-5 years"
"1080","Female","No","Yes","Yes","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.55,"No","Under 1 year"
"1081","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",20.05,"No","2-4 years"
"1082","Male","Yes","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.85,"No","2-4 years"
"1084","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",80.95,"Yes","Under 1 year"
"1085","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","One year","No","Credit card (automatic)",19.6,"No","4-5 years"
"1086","Female","Yes","No","No","Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",74.3,"Yes","1-2 years"
"1087","Female","Yes","No","No","Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",89.7,"Yes","Under 1 year"
"1088","Male","No","No","No","Yes","Yes","Fiber optic","Yes","No","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",87.65,"No","2-4 years"
"1089","Male","Yes","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",100.45,"Yes","1-2 years"
"1090","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",74.75,"No","1-2 years"
"1091","Female","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","No","Bank transfer (automatic)",107.45,"No","4-5 years"
"1092","Male","No","No","No","Yes","No","DSL","No","No","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",75.35,"No","2-4 years"
"1093","Male","No","Yes","No","Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Credit card (automatic)",64.95,"No","Over 5 years "
"1094","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","Yes","Yes","No","Yes","Two year","No","Electronic check",100.45,"No","Over 5 years "
"1095","Male","No","Yes","Yes","Yes","Yes","DSL","No","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",68.5,"No","2-4 years"
"1096","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.55,"No","Under 1 year"
"1097","Female","No","Yes","No","Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",81.25,"No","Under 1 year"
"1098","Male","No","Yes","Yes","Yes","No","Fiber optic","No","No","No","No","Yes","Yes","One year","Yes","Electronic check",90.4,"Yes","2-4 years"
"1099","Male","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","Yes","No","No","One year","No","Electronic check",89.55,"No","Over 5 years "
"1100","Male","No","Yes","Yes","Yes","Yes","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Mailed check",55.7,"No","Under 1 year"
"1101","Male","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",24.8,"No","1-2 years"
"1102","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",20,"No","1-2 years"
"1103","Male","No","Yes","Yes","Yes","No","DSL","No","Yes","Yes","No","No","No","Month-to-month","Yes","Mailed check",56.15,"Yes","Under 1 year"
"1104","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","Yes","Electronic check",105.2,"No","4-5 years"
"1105","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","One year","Yes","Mailed check",19.55,"No","2-4 years"
"1106","Female","No","Yes","No","Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",79.75,"No","Under 1 year"
"1107","Female","No","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Two year","No","Bank transfer (automatic)",97.45,"No","Over 5 years "
"1108","Female","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",24.25,"No","Over 5 years "
"1109","Female","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",24.6,"No","Over 5 years "
"1110","Male","No","Yes","No","Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",50.15,"No","2-4 years"
"1111","Male","No","No","No","No","No phone service","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Bank transfer (automatic)",39.6,"No","4-5 years"
"1112","Female","No","No","No","Yes","No","Fiber optic","Yes","No","Yes","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",94.4,"Yes","Under 1 year"
"1113","Female","Yes","No","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",89.85,"No","Over 5 years "
"1114","Female","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",78.95,"Yes","2-4 years"
"1115","Male","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",98.85,"No","2-4 years"
"1116","Male","No","No","No","Yes","Yes","DSL","No","No","No","Yes","No","No","Two year","Yes","Credit card (automatic)",53.85,"No","2-4 years"
"1117","Female","No","No","No","Yes","Yes","No","No","No","No","No","No","No","One year","Yes","Electronic check",24.25,"No","2-4 years"
"1118","Male","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Two year","Yes","Credit card (automatic)",89.45,"No","4-5 years"
"1119","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",105.25,"No","2-4 years"
"1120","Male","No","Yes","Yes","No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",59.5,"No","Over 5 years "
"1121","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",70.55,"No","1-2 years"
"1122","Female","No","No","No","Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",82.5,"No","4-5 years"
"1123","Female","No","No","No","No","No phone service","DSL","No","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",44.85,"Yes","1-2 years"
"1124","Male","No","Yes","Yes","Yes","No","DSL","Yes","Yes","Yes","No","No","No","One year","Yes","Bank transfer (automatic)",61.6,"No","2-4 years"
"1125","Male","No","No","No","Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",49.05,"No","Under 1 year"
"1126","Male","Yes","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",105.65,"Yes","2-4 years"
"1127","Male","No","No","No","Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Mailed check",74.65,"Yes","Under 1 year"
"1128","Female","No","Yes","Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","Yes","Mailed check",66.25,"No","1-2 years"
"1129","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",19.4,"No","2-4 years"
"1130","Male","Yes","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",86.05,"No","2-4 years"
"1131","Male","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",19.15,"No","2-4 years"
"1132","Female","No","Yes","No","Yes","Yes","DSL","Yes","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",64.7,"Yes","1-2 years"
"1133","Female","Yes","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",104.05,"Yes","Under 1 year"
"1134","Male","No","No","Yes","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.25,"No","Under 1 year"
"1135","Female","No","Yes","Yes","Yes","No","Fiber optic","Yes","Yes","No","No","No","No","Month-to-month","No","Electronic check",81.95,"No","2-4 years"
"1136","Female","Yes","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",114.65,"No","Over 5 years "
"1137","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",20,"No","Over 5 years "
"1138","Male","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.8,"No","Over 5 years "
"1139","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",65.15,"No","Under 1 year"
"1140","Male","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.65,"No","1-2 years"
"1141","Female","No","No","Yes","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",88.95,"No","1-2 years"
"1142","Male","No","No","Yes","Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",20.2,"No","Under 1 year"
"1143","Male","Yes","Yes","Yes","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",75.2,"No","Under 1 year"
"1144","Male","No","Yes","No","Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","No","Credit card (automatic)",56.8,"No","1-2 years"
"1145","Male","No","No","No","No","No phone service","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",35.55,"Yes","Under 1 year"
"1146","Female","No","Yes","No","Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.5,"No","2-4 years"
"1147","Male","No","No","No","No","No phone service","DSL","Yes","No","No","Yes","No","No","One year","No","Mailed check",35.6,"No","2-4 years"
"1148","Female","No","No","No","Yes","Yes","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",60.25,"No","Under 1 year"
"1149","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.15,"Yes","Under 1 year"
"1150","Male","No","Yes","Yes","Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Mailed check",96.65,"Yes","1-2 years"
"1151","Female","No","No","No","No","No phone service","DSL","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",40.35,"No","2-4 years"
"1152","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",18.85,"No","Under 1 year"
"1153","Male","No","No","No","Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",54.85,"No","Under 1 year"
"1154","Female","No","Yes","No","Yes","No","DSL","Yes","No","Yes","No","Yes","No","One year","Yes","Mailed check",64.3,"No","4-5 years"
"1155","Female","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",24.65,"No","2-4 years"
"1156","Male","No","Yes","No","Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)",76.1,"No","Over 5 years "
"1157","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",18.7,"No","4-5 years"
"1158","Female","Yes","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","One year","Yes","Credit card (automatic)",97.95,"No","Over 5 years "
"1159","Female","No","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",94.1,"No","4-5 years"
"1160","Female","Yes","Yes","No","Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.4,"Yes","Under 1 year"
"1161","Female","Yes","Yes","No","Yes","No","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.1,"No","1-2 years"
"1162","Male","No","No","Yes","No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",31.35,"Yes","Under 1 year"
"1163","Female","No","No","No","Yes","No","DSL","Yes","No","Yes","Yes","No","Yes","One year","Yes","Bank transfer (automatic)",72.35,"No","Over 5 years "
"1164","Female","No","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",89.75,"Yes","Under 1 year"
"1165","Female","Yes","Yes","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",82.7,"No","Over 5 years "
"1166","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","One year","No","Credit card (automatic)",19.9,"No","2-4 years"
"1167","Female","No","No","No","Yes","Yes","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",53.8,"No","Under 1 year"
"1168","Male","No","No","No","Yes","Yes","DSL","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",51.55,"No","2-4 years"
"1169","Male","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.65,"No","Under 1 year"
"1170","Male","Yes","No","No","No","No phone service","DSL","No","Yes","Yes","No","Yes","No","One year","Yes","Credit card (automatic)",44.05,"No","Over 5 years "
"1171","Male","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",114,"No","Over 5 years "
"1172","Male","No","Yes","No","Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",94.4,"Yes","4-5 years"
"1173","Female","Yes","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.4,"No","2-4 years"
"1174","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",19.85,"Yes","Under 1 year"
"1175","Female","No","No","No","Yes","Yes","DSL","No","Yes","No","No","No","No","One year","Yes","Mailed check",54.25,"No","1-2 years"
"1176","Female","No","No","No","Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",80,"No","1-2 years"
"1177","Female","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",109.9,"Yes","Under 1 year"
"1178","Female","No","No","No","Yes","Yes","DSL","Yes","No","Yes","No","Yes","Yes","Two year","No","Mailed check",79.2,"No","2-4 years"
"1179","Male","No","No","No","Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",101.35,"Yes","1-2 years"
"1180","Male","Yes","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",94.3,"No","2-4 years"
"1181","Male","No","No","No","Yes","No","DSL","No","No","No","Yes","No","No","Two year","Yes","Bank transfer (automatic)",49.8,"No","2-4 years"
"1182","Male","Yes","No","No","Yes","No","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",60.05,"Yes","1-2 years"
"1183","Male","No","No","No","No","No phone service","DSL","Yes","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",53.75,"No","4-5 years"
"1184","Female","No","Yes","No","Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","One year","Yes","Electronic check",93.45,"No","4-5 years"
"1185","Male","No","Yes","Yes","Yes","No","Fiber optic","Yes","No","Yes","No","Yes","No","Month-to-month","Yes","Mailed check",87.9,"No","1-2 years"
"1186","Female","No","No","No","Yes","Yes","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",60.15,"Yes","Under 1 year"
"1187","Female","No","Yes","No","Yes","Yes","DSL","Yes","No","No","Yes","No","No","One year","Yes","Bank transfer (automatic)",61.05,"No","4-5 years"
"1188","Female","Yes","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)",104.05,"No","Over 5 years "
"1189","Female","No","No","No","Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",99.25,"No","2-4 years"
"1190","Male","No","No","No","Yes","No","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","No","Credit card (automatic)",85.7,"No","Under 1 year"
"1191","Male","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",104.85,"No","2-4 years"
"1192","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",69.15,"No","2-4 years"
"1193","Male","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",90.45,"Yes","Under 1 year"
"1194","Female","No","No","No","Yes","No","DSL","No","No","Yes","Yes","Yes","Yes","Two year","No","Mailed check",74.45,"No","2-4 years"
"1195","Female","No","No","No","Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",50.45,"No","1-2 years"
"1196","Female","Yes","Yes","No","Yes","No","DSL","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",60,"No","1-2 years"
"1197","Male","No","Yes","No","Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","No","Electronic check",85.25,"No","Over 5 years "
"1198","Male","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",19.45,"No","1-2 years"
"1199","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",20.75,"No","2-4 years"
"1200","Female","No","Yes","No","Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",78.9,"No","1-2 years"
"1201","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",104.5,"No","2-4 years"
"1202","Female","No","No","No","Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",49.4,"No","Under 1 year"
"1203","Male","No","Yes","No","Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",94.25,"Yes","4-5 years"
"1204","Female","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",25,"No","4-5 years"
"1205","Male","No","Yes","Yes","No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",25.55,"No","1-2 years"
"1206","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.9,"Yes","Under 1 year"
"1207","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.15,"No","Under 1 year"
"1208","Female","No","No","Yes","Yes","No","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",69.4,"No","Under 1 year"
"1209","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.25,"Yes","Under 1 year"
"1210","Male","No","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","One year","Yes","Electronic check",93.15,"No","4-5 years"
"1211","Male","No","Yes","Yes","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69,"Yes","1-2 years"
"1212","Female","No","Yes","Yes","Yes","Yes","DSL","No","No","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",66.35,"Yes","Under 1 year"
"1213","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.55,"No","Under 1 year"
"1214","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",20.2,"No","Over 5 years "
"1215","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",86,"Yes","1-2 years"
"1216","Female","No","Yes","Yes","Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",80.3,"Yes","Under 1 year"
"1217","Male","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",20.4,"No","4-5 years"
"1218","Male","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",23.75,"No","Over 5 years "
"1219","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",90.55,"Yes","1-2 years"
"1220","Female","No","Yes","Yes","Yes","Yes","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",70.45,"No","Over 5 years "
"1221","Male","No","No","No","Yes","Yes","DSL","Yes","No","No","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",65.75,"No","1-2 years"
"1222","Male","No","No","No","No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",24.6,"No","Under 1 year"
"1223","Male","No","Yes","Yes","Yes","No","DSL","Yes","No","Yes","Yes","Yes","No","Two year","No","Mailed check",69.25,"No","Over 5 years "
"1224","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.9,"Yes","Under 1 year"
"1225","Male","No","Yes","Yes","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",45.85,"Yes","Under 1 year"
"1226","Female","No","Yes","No","No","No phone service","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",49.95,"Yes","1-2 years"
"1227","Female","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",24.65,"No","Over 5 years "
"1228","Male","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","One year","No","Bank transfer (automatic)",90.4,"No","2-4 years"
"1229","Female","No","Yes","No","Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",100.85,"No","4-5 years"
"1230","Male","No","Yes","No","Yes","Yes","DSL","Yes","No","Yes","Yes","No","Yes","Two year","No","Credit card (automatic)",75.35,"No","Over 5 years "
